dataset,model,horizon,variant,mse,mae
ETTh1,DLinear,96,cosa_plus,0.453148,0.453327
ETTh1,DLinear,96,ctx_std_only,0.452863,0.452958
ETTh1,DLinear,96,original,0.452734,0.45289
ETTh1,DLinear,96,rich_ctx,0.452891,0.452978
ETTh1,DLinear,96,vec_gate,0.452959,0.453206
ETTh1,DLinear,192,cosa_plus,0.502388,0.488103
ETTh1,DLinear,192,ctx_std_only,0.50211,0.487587
ETTh1,DLinear,192,original,0.501868,0.487488
ETTh1,DLinear,192,rich_ctx,0.502122,0.487596
ETTh1,DLinear,192,vec_gate,0.502159,0.488004
ETTh1,DLinear,336,cosa_plus,0.546639,0.518512
ETTh1,DLinear,336,ctx_std_only,0.547069,0.517993
ETTh1,DLinear,336,original,0.547112,0.518209
ETTh1,DLinear,336,rich_ctx,0.547067,0.517995
ETTh1,DLinear,336,vec_gate,0.546485,0.518571
ETTh1,DLinear,720,cosa_plus,0.670793,0.599874
ETTh1,DLinear,720,ctx_std_only,0.672253,0.599816
ETTh1,DLinear,720,original,0.673144,0.600635
ETTh1,DLinear,720,rich_ctx,0.672205,0.599793
ETTh1,DLinear,720,vec_gate,0.670848,0.600103
weather,DLinear,96,cosa_plus,0.191509,0.238533
weather,DLinear,96,ctx_std_only,0.190763,0.238772
weather,DLinear,96,original,0.190825,0.238723
weather,DLinear,96,rich_ctx,0.190789,0.238934
weather,DLinear,96,vec_gate,0.191642,0.238673
weather,DLinear,720,cosa_plus,0.349111,0.360986
weather,DLinear,720,ctx_std_only,0.344868,0.358961
weather,DLinear,720,original,0.344698,0.358557
weather,DLinear,720,rich_ctx,0.344772,0.358972
weather,DLinear,720,vec_gate,0.349507,0.361333
